,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination
132,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad
133,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva
134,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan
135,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas
136,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías
137,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares
138,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva
139,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan
140,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas
141,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías
142,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares
143,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad
144,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan
145,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas
146,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías
147,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares
148,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad
149,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva
150,2019-05-03 10:44:21.352273,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías
151,2019-05-03 10:44:21.352273,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares
152,2019-05-03 10:44:21.352273,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad
